estado,AC_original,AC_comprimido,AC_comprimido_esperado,distancia_original_ate_0_5,distancia_comprimida_ate_0_5,AT_fixo_no_teste,AE_MIXMINMAX,teste
VL,0.1,0.3,0.3,0.4,0.2,0.5,0.3333333333333333,OK
L,0.3,0.4,0.4,0.2,0.09999999999999998,0.5,0.4166666666666667,OK
M,0.5,0.5,0.5,0.0,0.0,0.5,0.5,OK
H,0.7,0.6,0.6,0.19999999999999996,0.09999999999999998,0.5,0.5166666666666667,OK
VH,0.9,0.7,0.7,0.4,0.19999999999999996,0.5,0.5333333333333333,OK
